ACO Doing Business As (DBA) or Legal Business Name (LBN),States Where Beneficiaries Reside ,Agreement Start Date,Track,Participate in Advance Payment Model , Total Assigned Beneficiaries ,Total Benchmark Expenditures,Total Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures,Total Benchmark Minus Assigned Beneficiary Expenditures as % of Total Benchmark,"Generated Savings/Losses1,2","Earned Shared Savings Payments/Owe Losses3,4",Successfully Reported Quality5,Quality Score6,ACO-1,ACO-2,ACO-3,ACO-4,ACO-5,ACO-6,ACO-7,ACO-8^,ACO-9^,ACO-10^,ACO-11,ACO-12,ACO-13,ACO-14,ACO-15,ACO-16,ACO-17,ACO-18,ACO-19,ACO-20,ACO-21,DM Composite,ACO-22,ACO-23,ACO-24,ACO-25,ACO-26,ACO-27^,ACO-28,ACO-29,ACO-30,ACO-31,CAD Composite,ACO-32,ACO-33
MBA - Northern California Physicians Management Group,California,01/01/2014,Track1,No,14536,$134005132,$136320770,$-2315638,-1.73%,,-,Yes,P4R,78.42,93.48,91.18,79.34,54.54,74.29,69.59,17.08,0.65,1.18,62.26,85.71,34.7,54.63,49.15,78.91,92.89,16.42,38.78,57.41,84.31,17.69,63.27,47.28,68.03,72.11,84.47,26.17,65.25,50.11,76.61,85.06,53.16,65.73,57.56
"MCM ACCOUNTABLE CARE ORGANIZATION, LLC",Florida,01/01/2013,Track1,No,6728,$107503917,$105496483,$2007434,1.87%,,-,Yes,77.58%,81.9,89.45,89.5,83.43,54.51,71.64,69.99,16.22,1.99,1.52,66.67,97,65.51,57.54,24.18,82.37,96.22,64.86,61.53,67.83,91.93,23.4,74.82,58.33,67.38,70.39,85.03,15.25,70.34,68.2,88.25,89.34,70.57,81.5,67.1
"MD Valuecare, LLC",Virginia,01/01/2014,Track1,No,13674,$103461478,$105320050,$-1858573,-1.8%,,-,Yes,P4R,81.38,91.78,91.32,83.43,58.64,75.35,72.18,14.52,0.66,1.18,91.3,34.93,58.89,62.27,65.31,55.74,91.71,46.87,54.19,60.33,33.82,36.17,75.12,65.47,73.98,91.65,84.92,12.11,67.85,67,83.25,74.77,63.71,73.99,71.03
Medical Mall ACO,"Mississippi,  Alabama",07/01/2012,Track1,Yes,4630,$68736523,$58465877,$10270645,14.94%,$10270645,-,No,0.00%,75.52,92.85,88.72,84.12,55.41,64.1,69.4,15.92,1.93,1.85,100,,,,,,,,,,,,,,,,,,,,,,,,
"Medical Practitioners for Affordable Care, LLC",Florida,07/01/2012,Track1,No,16587,$177715270,$175506006,$2209264,1.24%,,-,Yes,91.03%,85.63,92.81,92.01,84.39,58.27,78.52,69.69,15.37,1.23,1.33,85.07,99.86,67.5,57.84,51.49,82.54,94.91,60.35,67.53,72.01,79.64,30,75,57.41,72.22,84.63,80.82,16.85,75,58.96,78.74,87.95,78.78,87.43,76.86
Medicare Value Partners,Illinois,01/01/2013,Track1,No,39031,$448203107,$456740676,$-8537569,-1.9%,,-,Yes,87.88%,82.93,94.35,92.19,86.41,58.51,79.16,70.5,16.19,1.31,1.18,75.59,95.37,32.24,58.82,40.69,72.81,90,23.46,64.64,61.19,68.07,23.67,68.45,55.92,69.61,77.96,88.72,21.81,69.39,63.7,83.65,84.26,66.44,75.06,70.92
Memorial Hermann Accountable Care Organization,Texas,07/01/2012,Track1,No,40911,$483034702,$430103255,$52931447,10.96%,$52931447,"$22,723,305 ",Yes,87.61%,77.06,91.98,90.6,83.46,56.87,74.61,72.17,14.94,1.12,1.17,87.45,91.58,33.11,62.61,45.92,77.76,96.31,29.14,54.61,58.71,93.47,27.43,70.87,58.77,69.68,82.11,80.19,20.03,63.88,58.98,88.35,94.14,67.38,74.75,79.58
"Mercy ACO, LLC",Iowa,07/01/2012,Track1,No,51284,$434397899,$426837384,$7560515,1.74%,,-,Yes,88.15%,75.56,91.86,90.43,80.46,54.89,74.41,73.18,13.62,1.04,1.02,75.97,92.28,55.12,64.07,63.55,57.38,88.96,34.54,66.43,74.41,71.53,38.44,76.66,82.15,73.23,76.66,78.13,11.44,71.81,64.63,95.01,87.74,62.3,74.06,72.29
"Mercy ACO, LLC","Missouri,  Arkansas",01/01/2013,Track1,No,36301,$284928289,$283281817,$1646472,0.58%,,-,Yes,93.27%,81.3,93.79,92.72,84.76,54.94,77.32,70.58,14.31,0.73,1.05,92.98,98.56,89.76,81.15,87.93,81.66,97.99,67.82,71.92,72.8,41.93,31.54,72.06,64.54,71.08,85.62,90.83,15.69,71.86,64.29,91.99,97.31,81.02,85.87,86.3
"Mercy Health Select, LLC","Ohio,  Kentucky,  Michigan",07/01/2012,Track1,No,64739,$611641418,$596199976,$15441442,2.52%,$15441442,"$6,518,339 ",Yes,86.15%,79.03,93.28,93.11,85.04,57.27,74.09,71.16,14.89,1.26,1.37,83.54,79.04,71.29,58.55,69.39,51.55,94.77,46.17,65.24,63.75,30.48,29.98,70.48,58.12,80.09,80.78,91.26,18.99,75.04,58.41,87.26,94.67,64.12,72.63,72.73
Mercy Health System ACO,"Wisconsin,  Illinois",01/01/2014,Track1,No,10708,$89767506,$91789664,$-2022159,-2.25%,,-,Yes,P4R,82.35,93.91,92.01,87.19,56.48,75.87,73.78,15.08,1.34,1.36,82.55,98.99,81.43,65.38,84.75,52.54,99.33,71.66,74.21,69.23,48.91,37.86,76.7,68.93,78.4,83.98,88.1,13.56,77.52,68.93,94.17,82.83,81.8,91.07,79.73
Mercy-CR/UI Health Care Accountable Care Organization,Iowa,07/01/2012,Track1,No,18767,$156686884,$157344563,$-657679,-0.42%,,-,Yes,89.14%,83.85,94.44,93.3,85.25,60.17,73.96,74.2,15.28,0.96,1.16,94.67,74.85,92.21,68.88,79.5,73.37,98.52,4.11,78.15,75.33,36.36,32.67,77.69,59.5,73.06,87.77,91.2,16.86,72.87,54.29,93.11,60.8,66.49,71.32,82.83
"Meridian Accountable Care Organization, LLC",New Jersey,01/01/2013,Track1,No,41202,$445635239,$437424062,$8211177,1.84%,,-,Yes,86.45%,80.01,92.23,92.2,81.95,59.17,76.41,71.25,14.08,0.87,1.23,75.84,9.89,61.4,56.71,47.6,60.82,92.32,51.56,60.36,51.74,41.74,29.87,73.83,58.22,72.82,85.07,81.22,18.12,71.38,62.46,87.9,75.52,68.1,78.03,70.98
Meridian Health Systems ACO Corporation,"North Carolina,  Georgia,  Florida,  Louisiana,  South Carolina,  Tennessee,  District of Columbia,  California,  Texas,  Maryland",07/01/2012,Track1,No,9990,$168271828,$173268708,$-4996879,-2.97%,,-,Yes,78.83%,72.88,86.74,85.56,83.93,55.34,66.11,69.41,17.28,1.54,1.52,59.09,100,97.14,53.26,29.77,87.52,94.79,77.11,48.2,43.65,99.34,13.13,51.49,35.38,66.37,74.43,91.72,40.38,65.68,41.99,83.97,85.51,74.44,86.16,79.76
"Meritage ACO, LLC",California,01/01/2013,Track1,No,22722,$205995197,$213953630,$-7958433,-3.86%,,-,Yes,85.95%,82.32,91.96,90.96,81.3,53.98,73.43,73.7,14.34,0.53,0.92,82.86,97.23,46.5,50.93,56.82,63.36,92.19,28.84,68.61,74.04,35.16,30.16,74.6,56.92,68.25,87.76,79.71,13.83,67.13,65.88,79.38,78.65,73.35,76.96,79.09
Methodist Patient Centered ACO,Texas,07/01/2012,Track1,No,14020,$161551967,$148938971,$12612997,7.81%,$12612997,"$5,260,901 ",Yes,85.12%,83.12,92.38,91.49,85.48,59.24,71.64,69.34,14.55,1.04,0.92,78.89,15.96,57.6,71.1,78.87,68.17,92.48,69.07,63.04,71.33,33.43,29.18,68.94,59.76,73.41,82.82,96.53,20.47,74.1,61.3,86.54,82.27,72.06,77.46,84.8
MetroHealth Care Partners,Ohio,01/01/2014,Track1,No,10774,$103789238,$105978151,$-2188914,-2.11%,,-,Yes,P4R,76.75,90.42,89.82,88.63,58.07,73.11,72.38,16.65,1.52,1.64,83.09,99.61,88.22,52.44,81.24,33.44,53.42,30.18,64.37,74.02,44.94,12.58,67.65,50.65,62.91,50.49,82.05,21.01,60.82,48.98,90.65,99.46,88.14,89.59,92
Mid-Atlantic Primary Care ACO,"Virginia,  Maryland,  District of Columbia",01/01/2014,Track1,No,13133,$122099969,$123262028,$-1162059,-0.95%,,-,Yes,P4R,74.63,89.72,89.12,81.16,58.13,69.35,73.07,14.91,0.99,1.91,86.92,68.86,35.68,51.44,44.37,71.12,95.56,18.18,58.13,63.55,46.67,24.42,68.6,56.05,63.26,90,81.62,20.65,62.33,56.8,82.82,87.23,70.07,76.34,82.87
Midwest Health Coalition ACO,"Nebraska,  Iowa",01/01/2014,Track1,No,4634,$41230079,$41553498,$-323418,-0.78%,,-,Yes,P4R,88.19,94.46,93.35,85.44,55.78,73.04,71.86,15.25,1.06,1.06,64,97.19,56.76,66.78,70.44,78.29,88.07,54.44,49.16,67.89,90.86,31.03,76.94,67.09,72.96,69.39,89.29,12.66,71.99,70.95,92.74,89.74,84.56,90.41,83.76
Millennium Accountable Care Organization,Florida,01/01/2013,Track1,No,36355,$354287385,$336801384,$17486002,4.94%,$17486002,"$7,977,169 ",Yes,93.10%,77.88,92.43,91.37,81.53,57.39,77.39,74.25,14.35,0.73,1.23,97.75,98.51,66.61,74,65.03,88.82,96.89,64.76,78.18,76.5,54.81,37.75,81.46,65.07,82.12,91.72,77.72,9.09,80.24,69.44,91.5,87.5,76.77,86.16,73.66
MissionPoint Health Partners,Tennessee,07/01/2012,Track1,No,25997,$242291358,$239406050,$2885308,1.19%,,-,Yes,90.02%,86.86,95.53,94.33,89.33,61.87,75.88,72.04,15.09,1.35,1.13,86,82.13,53.62,58.43,67.27,61.64,93.45,34.21,61.7,57.57,68.01,30.83,78.83,64.17,67.83,83.83,84.13,11.96,64.68,53.86,88.87,92.68,57.43,63.62,83.77
Morehouse Choice ACO-ES,Georgia,01/01/2013,Track1,No,5710,$42445256,$41932140,$513116,1.21%,,-,Yes,73.84%,67.98,89.49,90.67,71.65,54.39,68.33,72.02,14.8,0.73,1.13,26.15,90.11,78.2,53.1,43.87,75.54,91.53,19.15,65.88,78.44,60.44,16.14,70.12,52.77,50.84,78.31,83.72,19.95,55.29,54.55,79.55,96.67,59.35,75.23,64.18
Mosaic Life Care,"Missouri,  Kansas",07/01/2012,Track2,No,13423,$129803406,$126112221,$3691184,2.84%,$3691184,"$2,064,318 ",Yes,95.11%,82.39,93.07,92.44,89.02,64.28,75.67,71.6,15.39,0.66,0.98,95.74,89.04,69.44,79.41,86.81,94.92,100,68.9,71.26,66.83,42.2,43.6,80.57,74.88,79.38,83.41,97.78,7.78,79.86,80.24,92,96.77,82.29,85.78,88.17
"Mount Sinai Care, LLC",New York,07/01/2012,Track1,No,33825,$383882561,$382994067,$888494,0.23%,,-,Yes,89.96%,82.4,93.95,93.54,84.25,60.34,76.73,68.73,15.19,1.32,1.11,76.57,95.05,51.36,52.36,52.53,76.45,90.29,55.82,40.47,56.81,50.34,33.45,69.61,63.5,71.99,92.7,85.26,17.83,66.09,66.19,81.78,78.88,78.64,82.5,82.44
"MPS ACO Physicians, LLC",Connecticut,07/01/2012,Track1,Yes,6067,$66828212,$70362250,$-3534038,-5.29%,,-,Yes,87.72%,82.85,92.38,91,86,58.5,72.82,74.27,15.22,1.05,1.1,76.19,97.24,63.2,56.36,57.17,69.84,90.7,48.96,64.7,57.19,57.3,34.01,73.98,62.45,82.71,76.58,88.76,14.47,76.63,72.56,85.03,85.15,64.38,77.78,70.67
"National ACO, LLC","California,  Pennsylvania",01/01/2013,Track1,Yes,5512,$99415919,$97834591,$1581328,1.59%,,-,Yes,86.66%,82.17,94.91,93.94,85.83,63.34,77.59,70.55,14.27,1.72,1.26,40.62,100,90.52,86.38,73.66,96.35,98.25,83.24,63.07,62.7,95.76,27.36,69.98,54.48,77,81.11,98.77,19.9,75.37,63.39,94.84,98.51,80.73,84.28,86.05
National Rural ACO,"Michigan,  Indiana,  California,  Oklahoma",01/01/2014,Track1,No,14050,$138531931,$147449423,$-8917492,-6.44%,,-,Yes,P4R,77.57,91.32,91,80.92,54.61,74.69,70.72,14.44,0.84,0.85,67.6,57.59,13.44,45.33,50.57,54.19,98.05,15.19,55.63,70.27,74.46,24.92,70.3,57.26,68.98,85.48,70.31,18.71,65.4,53.85,85.29,84.48,61.92,70.52,76.78
NATURE COAST ACO LLC,Florida,01/01/2013,Track1,Yes,6456,$78406410,$78444576,$-38166,-0.05%,,-,Yes,91.46%,76.75,86.88,85.93,84.13,56.47,76.24,70.88,15.31,0.92,1.2,100,100,79.24,63.87,57.98,91.94,93,73.2,72.27,72.25,89.01,27.02,75.81,54.84,80.24,85.48,84.97,13.21,74.45,57.87,83.54,87.18,75.65,81.18,85.81
"NEPA ACO Company, LLC",New Jersey,01/01/2014,Track1,No,6972,$90543463,$90266058,$277405,0.31%,,-,Yes,P4R,81.84,93.92,92.97,85.57,58.2,71.99,69.87,15.56,1.26,1.22,53.57,56.52,17.23,40.34,25.6,53.46,85.41,3.64,44.36,29.81,22.98,18.98,60.34,48.66,65.45,78.35,61.18,29.85,67.42,48.26,73.88,81.58,52.91,61.12,66.47
"Nevada Primary Care Network, ACO, LLC",Nevada,07/01/2012,Track1,No,7059,$88816561,$79774181,$9042380,10.18%,$9042380,"$3,762,195 ",Yes,84.91%,74.96,89.59,87.79,79.04,54.56,74.28,69.13,15.47,0.86,0.89,51.72,100,88.81,81.06,57.39,95.47,90.7,91.1,63.24,75.56,97.54,9.35,64.19,51.61,70.65,37.42,80,23.38,69.4,56.5,80.79,73.91,64.57,82.94,61.74
New Health Collaborative,Ohio,07/01/2012,Track1,No,29846,$275693772,$265468431,$10225342,3.71%,$10225342,"$4,456,811 ",Yes,88.95%,84.64,94.45,93.37,84.63,59.66,76.32,72.67,14.95,1.05,0.98,84.68,44.24,63.4,61.31,65.01,50.69,81.19,37.16,60.79,54.37,37.83,27.08,73.38,61.11,75.46,73.61,89.94,15.17,70.64,60.1,82.24,89.86,67.23,72.84,82.47
New York State Elite (NYSE) Accountable Care Organization (ACO) Inc,New York,01/01/2014,Track1,No,5620,$103142602,$104173901,$-1031299,-1%,,-,Yes,P4R,80.69,92.38,91.94,84.06,64.74,74,70.63,16.95,1.68,0.88,44.74,100,83.83,48.23,48.2,88.95,88.05,78.6,56.18,61.31,94.32,21.85,65.56,46.11,68.52,73.33,94.99,25.74,69.68,54.89,79.85,54.9,66.18,76.05,78.57
NH Accountable Care Partners,"New Hampshire,  Massachusetts,  Maine",07/01/2012,Track1,No,37590,$357516836,$361520938,$-4004102,-1.12%,,-,Yes,93.57%,86.82,94.03,92.88,87.44,67.55,77.66,73.2,14.89,0.89,1.24,93.36,87.27,65.33,68.03,84.68,69.26,96.05,59.37,77.64,80.62,60.24,32.67,74.17,65.33,76.83,83.17,83.1,10.17,73.81,66.97,95.41,87.8,72.3,78.7,82.16
NJ Physicians ACO,New Jersey,01/01/2014,Track1,No,11611,$180821641,$185897332,$-5075691,-2.81%,,-,Yes,P4R,81.93,91.37,89.23,84.5,57.68,77.34,68.85,16.55,1.39,1.36,87.1,71.46,33.26,61.89,30.17,45.63,87.41,43.76,43.3,44.42,42.54,20.49,56.12,49.22,59.24,72.61,62.39,34.08,60.34,46.02,48.19,84.21,78.69,94.43,53.74
"NOMS ACO, LLC",Ohio,01/01/2013,Track1,Yes,6860,$66888795,$65350782,$1538014,2.3%,,-,Yes,92.00%,81.3,93.84,92.63,83.35,60.75,78.21,68.34,14.62,1.35,1.16,83.87,99.32,70.46,74.67,72.52,78.78,98.57,67.1,54.03,71.31,65.63,26.44,72.85,54.64,73.73,86.87,89.78,14.56,73.44,58.87,88.1,92.75,66.81,78.18,69.79
"North Bend Medical Center, Inc.",Oregon,07/01/2012,Track1,No,8342,$71002853,$79669496,$-8666643,-12.21%,,-,Yes,78.82%,74.24,89.09,86.46,80,52.56,73.9,68.22,16.08,0.66,0.88,93.33,94.46,2.76,58.92,43.34,51.3,32.31,0,35.3,48.28,34.37,4.36,70.69,65.33,63.99,12.9,89.32,20.23,61.44,63.32,87.34,100,63,67.48,84.46
"North Coast Medical ACO, Inc.",California,07/01/2012,Track1,No,5571,$54649540,$54211559,$437982,0.8%,,-,Yes,85.85%,78.7,90.56,89.91,82.87,54.93,71,72.08,15.11,0.42,1.11,79.31,90.81,44.59,56.75,61.51,79.6,96.8,50.25,48.25,53.79,77.8,23.3,72.16,53.69,63.64,84.66,71.95,19.89,68.53,44.02,79.54,84.62,76.8,89.78,62.34
North Collaborative Care,Minnesota,01/01/2014,Track1,No,9375,$94556638,$90316861,$4239777,4.48%,$4239777,"$2,077,491 ",Yes,P4R,83.12,92.59,92.86,83.25,58.97,75.99,72.49,14.64,0.66,1.32,93.85,94.86,25.57,76.74,76.82,36.46,84.72,20.41,46.09,68.15,74.34,33.93,67.68,64.63,75.22,83.48,100,11.99,77.92,67.53,85.71,94.29,74,78.14,88.98
North Country ACO,"New Hampshire,  Vermont",04/01/2012,Track1,Yes,6254,$53774663,$53659711,$114953,0.21%,,-,Yes,91.76%,83.39,92.36,91.95,80.97,64.52,75.92,72.92,14.91,1.23,1.08,,96.03,34.73,56.05,84.32,70.93,94.82,66.11,63.82,58.46,71.54,2.17,71.74,59.78,75,6.52,87.88,10.87,68.86,56.36,87.27,77.78,58.39,65.77,75
Northern Maryland Collaborative Care LLC,Maryland,01/01/2013,Track1,No,10880,$148843930,$147204557,$1639372,1.1%,,-,Yes,87.21%,82.73,92.9,91.92,86.38,60.19,73.48,71.9,15.39,1.19,1.21,77.27,97.78,35.26,54.67,45.44,63.52,79.33,25.19,48.59,42.05,39.13,20,65.07,50.7,66.48,72.96,86,24.79,71.52,47.64,88.18,40.85,48.1,52.19,81.76
Northern Michigan Health Network,Michigan,01/01/2014,Track1,No,18709,$147867055,$146198026,$1669030,1.13%,,-,Yes,P4R,84.03,92.84,93.01,86.01,60.57,77.15,72.83,13.91,0.77,1.22,90,70.54,50.17,66.45,63.86,63.39,88.6,36.28,72.8,83.42,35.85,31.52,78.71,60.56,72.11,77.89,86.27,11.72,72.2,59.86,88.78,71.37,68.22,76.5,73.68
"Northwest Ohio ACO, LLC","Ohio,  Michigan",01/01/2013,Track1,No,13415,$135723422,$142023068,$-6299646,-4.64%,,-,Yes,88.48%,79.98,92.67,91.18,84.84,57.85,77.21,70.8,14.74,1.37,1.25,92.5,98.88,26.1,64.62,45.5,57.56,95.62,19.34,54.01,70.07,60.95,22.63,64.96,56.45,62.77,83.45,86.08,23.36,66.18,54.01,92.46,97.92,52.8,55.64,88.05
"Oakwood Accountable Care Organization, LLC",Michigan,07/01/2012,Track1,No,14305,$169439249,$150365095,$19074154,11.26%,$19074154,"$8,147,793 ",Yes,87.18%,78.96,94.09,92.14,83.63,57.84,78.37,71.08,16.87,1.51,1.25,78.07,68.25,63.49,56.9,49.89,65.7,90.11,22.95,50,52.39,40.86,22.12,73.73,58.76,70.74,73.73,81.87,14.52,70.17,53.98,83.61,82.76,68.72,75.18,77.83
"Ochsner Accountable Care Network, LLC","Louisiana,  Mississippi",01/01/2013,Track1,No,23744,$237141090,$241220831,$-4079741,-1.72%,,-,Yes,90.22%,81.01,94.21,94.26,88.42,61.35,74.55,69.46,15.14,0.8,1.27,94.32,66.74,71.66,68.29,46.63,72.64,94.29,48.24,69.9,80.53,46.7,27.82,74.82,58.51,61.63,90.89,90.44,15.59,63.4,57.05,88.14,87.7,71,75.35,84.47
Oklahoma Health Initiatives,"Oklahoma,  Kansas",01/01/2014,Track1,No,10013,$82838829,$83814823,$-975993,-1.18%,,-,Yes,P4R,75.85,91.37,90.35,83.82,53.32,74.08,68.69,15.37,1.08,0.93,73.12,87.45,7.1,55.86,37.29,52.75,95.17,2.67,45.47,50.17,51.14,19.22,70.15,47.05,64.76,86.85,65.43,21.68,66.22,50.55,81.39,85.44,52.71,61.23,69.88
"OneCare Vermont Accountable Care Organization, LLC","Vermont,  New Hampshire",01/01/2013,Track1,No,55058,$466249733,$470417853,$-4168120,-0.89%,,-,Yes,89.15%,85.01,92.47,91.45,86,60.61,73.81,74.12,14.84,0.89,1.07,72.26,93.41,47.31,63.81,77.8,70.81,96.67,28.07,70.27,71.12,66.43,28.67,72.67,59.83,70,83,86.71,13.1,70.57,58.81,90.02,84.12,66.67,71.76,79.79
"Optimus Healthcare Partners, LLC",New Jersey,04/01/2012,Track1,No,23542,$251794890,$241777125,$10017766,3.98%,$10017766,"$4,440,296 ",Yes,90.46%,80.44,93.28,90.79,82.88,60.6,73.92,72.56,15.5,0.99,1.17,85.47,78.89,46.74,64.24,65.17,77.69,91.54,40.42,65.3,65.74,72.98,24.32,72.28,56.97,68.2,82.31,66.38,17.01,73.01,63.47,85.71,91.02,77.74,85.61,80.63
"Orange Accountable Care of South Florida, LLC",Florida,01/01/2014,Track1,No,7729,$126815138,$128429595,$-1614456,-1.27%,,-,Yes,P4R,79.18,93.3,92.53,82.18,65.51,78.11,64.52,16.25,1.74,1.76,70.59,99.78,23.18,28.39,14.69,75.7,80.07,28.74,45.47,57.36,93.31,18.27,61.93,50.76,72.59,68.02,64.37,26.73,73.01,45.49,71.7,96.65,76.27,84.81,80.95
Owensboro ACO,"Kentucky,  Indiana",01/01/2013,Track1,Yes,7645,$68142847,$67646225,$496622,0.73%,,-,Yes,84.85%,85.26,93.17,93.01,85.95,49.79,72.12,71.81,14.11,1.21,0.96,73.68,97.47,61.88,79.33,71.33,81.91,95.47,48.8,61.45,75.54,77.7,34.51,82.58,62.98,70.18,84.76,92.24,9.65,67.52,61.9,92.06,89.62,71.28,78.53,80.52
"Palm Beach Accountable Care Organization, LLC",Florida,07/01/2012,Track1,No,34601,$450902466,$418729017,$32173449,7.14%,$32173449,"$14,455,933 ",Yes,91.70%,82.69,92.98,91.68,85.76,59.6,75.21,73.42,15.71,1.06,1.27,71.29,98.93,76.36,83.14,72.81,89.11,95.16,73.85,80.63,82.24,94.46,39.9,79.81,63.26,77.37,91.24,95.21,10.71,80.23,68.86,92.7,95.05,86.06,88.69,90
"Paradigm ACO, LLC",Florida,01/01/2013,Track1,No,5131,$54206370,$47074380,$7131990,13.16%,$7131990,"$3,156,518 ",Yes,90.32%,70.68,86.96,87.48,84.74,56.24,73.73,74.58,15.38,0.96,0.75,66.67,97.01,83.58,88.13,74.84,98.21,96.43,80.53,78.73,82.07,81.29,41.39,84.27,71.52,78.31,85.76,86.88,7.62,81.07,71.4,88.45,97.17,88.85,93.24,87.15
Partners in Care,Michigan,01/01/2013,Track1,No,11131,$93789571,$93410014,$379556,0.4%,,-,Yes,91.76%,78.57,93.74,93.09,84.67,60.37,77.05,73.12,14.76,1.06,1.26,90.41,90.32,55.13,64.06,62.86,74.15,94.59,66.2,62.87,70.88,65.29,24.77,70.68,59.77,68.41,89.09,82.51,17.5,72.17,60.68,88.11,87.94,73.4,77.46,86.99
"Partners In Care ACO, Inc.",New Jersey,01/01/2014,Track1,No,6843,$75666912,$75470433,$196479,0.26%,,-,Yes,P4R,79.74,92.05,89.79,82.99,58.19,74.69,69.06,15.29,0.75,1.2,75,85.71,24.78,35.51,31.15,67.66,83.74,24.91,35.16,39,79.96,17.73,56.45,50.1,62.81,72.64,74.02,35.06,59.66,49.71,75,94.74,60.58,65.68,75.8
"Physician Alliance of Kansas, Inc.",Kansas,01/01/2014,Track1,No,17203,$148665406,$147966906,$698500,0.47%,,-,Yes,P4R,82.3,91.65,92.63,85.32,51.45,74.35,71.86,13.77,0.45,0.88,96.1,63.5,26.94,58.12,34.31,57.87,91.19,22.87,65.55,68.99,56.2,15.7,65.7,40.82,63.53,74.88,77.44,25.12,62.77,35.52,58.15,96.1,50,61.17,75
Physician Collaborative of Kansas City LLC,"Missouri,  Kansas",01/01/2014,Track1,No,14723,$116119123,$118961973,$-2842850,-2.45%,,-,Yes,P4R,78.7,91.71,91.18,84.01,60.51,70.85,71.56,15.06,0.92,1.38,100,46.85,43.3,81.97,77.61,54.75,50.66,24.51,72.58,76.72,49.34,19.17,78.02,61.16,72.73,50.58,91.69,12.4,69.89,64.53,87.67,73.02,87.5,90.33,75.32
Physician Direct Accountable Care Organization LLC,Michigan,01/01/2014,Track1,No,5261,$47498861,$46360813,$1138048,2.4%,,-,Yes,P4R,81.08,94.31,93.37,83.32,58.85,75.18,72.69,15.15,0.75,1.32,87.88,96.17,10.46,58.61,41.99,62.58,95.59,27.32,46.96,57.52,76.74,12.21,66.67,50.99,71.29,44.88,68.14,22.98,67.02,43.77,80.15,65.17,77.12,83.36,83.24
PHYSICIAN FIRST ACO,Florida,01/01/2014,Track1,No,6245,$77982007,$81611949,$-3629942,-4.65%,,-,Yes,P4R,80.55,92.13,89.6,83.08,58.11,74.04,66.4,15.28,1.32,1.84,83.33,99.53,44.98,25.59,21.57,72.94,82.21,23.06,35.29,59.63,69.58,21.38,64.31,50.35,71.55,77.92,74.38,25.65,73.99,50.48,75.24,60.38,53.69,63.6,62.45
"Physician Health Partners, LLC",Colorado,01/01/2014,Track1,No,31320,$237432325,$243089578,$-5657253,-2.38%,,-,Yes,P4R,82.96,93.18,92.36,84.59,53.66,74.98,71.56,13.22,0.39,0.82,73.18,92.29,37.01,66.99,69.18,90.09,96.94,23,59.83,67.8,85.77,35.56,69.87,70.5,80.75,86.82,89.58,18.45,79.28,64.94,91.34,90.6,72.96,79.74,78.21
Physicians Accountable Care of Utah,Utah,01/01/2014,Track1,No,6767,$46586937,$49294533,$-2707596,-5.81%,,-,Yes,P4R,79.69,92.7,92.43,82.95,56.38,73.69,70.91,14.97,0.73,0.67,89.09,94.71,42.79,56.86,68.31,71.9,85.55,22.42,57.8,49.18,79.29,25.56,70.84,58.49,73.24,68.95,65.42,17.84,68.52,55.66,73.3,81.25,42.18,62.18,46.67
"Physicians Accountable Care Organization, LLC",New Mexico,01/01/2013,Track1,No,5075,$31055714,$31579779,$-524065,-1.69%,,-,No,0.00%,71.18,88.83,86.77,80.9,57.43,74.09,67.25,14.92,0.73,0.51,75,,,,,,,,,,,,,,,,,,,,,,,,
Physicians ACO,Texas,07/01/2012,Track1,Yes,7917,$135304239,$122081685,$13222555,9.77%,$13222555,"$4,849,165 ",Yes,74.84%,78.14,90.3,89.22,87.74,58.72,71.94,67.2,15.07,1.6,1.59,52.73,57.95,21.49,39.61,30.66,53.91,75.47,11.75,30.76,31.84,31.05,11.26,51.41,34.9,65.29,66.23,78.49,40.71,60.1,32.07,74.34,77.14,35.07,42.42,69.83
Physicians Collaborative Trust ACO LLC,Florida,01/01/2013,Track1,Yes,12209,$113127342,$112769802,$357539,0.32%,,-,Yes,79.49%,75.52,90.56,89,84.96,59.3,74.7,73.33,15.51,0.96,1.33,94.29,89.47,24.44,40.37,23.6,89.79,84.96,13.62,18.68,45.84,94.75,3.39,61.48,48.9,29.94,12.18,25.9,31.14,28.5,49.31,14.4,80.7,19.03,20.76,45.61
"Physicians Collaborative Trust of the Mississippi Gulf Coast, LLC",Mississippi,04/01/2012,Track1,No,5548,$51097428,$50636653,$460775,0.9%,,-,Yes,79.41%,80.54,93.85,93.59,83,60.08,73.46,69.76,15.1,1.23,1.34,90,98.9,16.22,47.83,29.14,73.84,90.74,25.2,24.76,39.85,95.24,5.82,31.45,37.45,49.27,59.45,69.75,36.73,51.14,32.02,59.88,97.18,53.8,52.97,79.9
"Physicians Healthcare Collaborative, LLC",North Carolina,01/01/2013,Track1,No,12289,$94906288,$94733542,$172746,0.18%,,-,Yes,90.19%,74.62,91.38,91.03,84.77,61.43,75.21,72.51,14.62,0.87,1.12,86.49,53.57,63.26,69.9,81.35,58.23,95.88,41.85,82.28,87.35,43.2,32.09,78.14,70,73.02,83.49,76.47,9.07,70.47,71.39,84.13,83.74,72.37,80.82,72.15
